DATE	MATCHUP	RESULT	VENUE	ATTENDANCE	GOAL SCORERS
June 2, 2016	WNT vs Japan	3-3 D	Dick's Sporting Goods Park; Commerce City, Colo.	18,572 (so)	Morgan(2), Horan
June 2, 2016	U-15 BNT vs Montenegro	1-0 W	Zagreb, Croatia		Reyna
June 2, 2016	U-17 WNT vs Switzerland U-19 WNT	2-1 W	Lugano, Switzerland		Tagliaferri, Jones
May 31, 2016	U-17 WNT vs Switzerland U-19 WNT	3-2 W	Lugano, Switzerland		Kuhlmann (2), Torres
May 30, 2016	U-20 WNT vs Papua New Guinea	10-0 W	Port Moresby, Papua New Guinea	0	Hedge (2), Fox (2), Canales (2), Sanchez, Riehl, DeMelo, Watt
May 28, 2016	MNT vs Bolivia	4-0 W	Children's Mercy Park; Kansas City, Kansas	8,894	Zardes(2), Brooks, Pulisic
May 27, 2016	U-20 WNT vs Japan	0-5 L	Port Moresby, Papua New Guinea	0	-
May 25, 2016	MNT vs Ecuador	1-0 W	Toyota Stadium; Frisco, Texas 	9,893	Nagbe
May 25, 2016	U-17 MNT vs South Korea	1-1 D 0-1 aet	Goa, India		Carleton
May 23, 2016	U-17 MNT vs Malaysia	2-1 W	Goa, India		Sargent (2)
May 22, 2016	MNT vs Puerto Rico	3-1 W	Juan Ramón Loubriel Stadium; Bayamón, Puerto Rico	14,000	Ream, Wood, Arriola
May 21, 2016	U-17 MNT vs South Korea	0-0 D	Goa, India		--
May 19, 2016	U-17 MNT vs India	4-0 W	Goa, India		W. Sands (2), Vaughn, Negrete
May 15, 2016	U-17 MNT vs Tanzania	1-1 D	Goa, India		Akinola
May 1, 2016	U-16 BNT vs Italy	0-4 L	Gradisca, Italy		
April 29, 2016	U-19 MNT vs Russia	2-1 W	Myjava; Slovakia		Hunsinger, Da Silva
April 29, 2016	U-18 MNT vs San Diego Nomads	0-0 D	Olympic Training Center; Chula Vista, Calif.		Carranza
April 29, 2016	U-16 BNT vs England	4-4 D 6-5	Gradisca, Italy		Hilton, De la Fuente, Rivas, Segal
April 28, 2016	U-16 GNT vs Mexico	1-1 D 1-4 PKs	Gradisca, Italy		Wingate
April 28, 2016	U-19 MNT vs Slovakia	1-3 L	Senica; Slovakia		Agu
April 27, 2016	U-16 BNT vs Brazil	2-1 W	Gradisca, Italy		de la Fuente, Palomino
April 26, 2016	U-18 MNT vs Xolos	2-1 W	Olympic Training Center; Chula Vista, Calif.		Taitague, Servania
April 26, 2016	U-16 BNT vs Slovenia	2-2 D	Gradisca, Italy		Arriaga, Rivas
April 26, 2016	U-19 MNT vs Ukraine	2-1 W	Bernolákovo; Slovakia		McKennie, own goal
April 26, 2016	U-16 GNT vs Iran	6-0 W	Gradisca, Italy		Vatne, Yates (3), Jarrett, Wingate
April 25, 2016	U-16 BNT vs Croatia	1-2 L	Gradisca, Italy		Llanez
April 25, 2016	U-19 MNT vs Georgia	5-1 W	Modranka; Slovakia		Barbir, Hunsinger, Vazquez, McKennie, Espinoza
April 25, 2016	U-16 GNT vs Italy	0-1 L	Gradisca, Italy		--
April 17, 2016	U-17 MNT vs Canada	3-1 W	Lockhart Stadium; Fort Lauderdale, Florida		Carleton, Akinola (2)
April 15, 2016	U-17 MNT vs Canada	3-1 W	Lockhart Stadium; Fort Lauderdale, Florida		Acosta, Goslin, Carleton
April 10, 2016	WNT vs Colombia	3-0 W	Talen Energy Stadium; Chester, Pa.	17,275 (so)	Press, Johnston (2)
April 6, 2016	WNT vs Colombia	7-0 W	Pratt & Whitney Stadium; East Hartford, Conn.	21,792	Dunn, Long (2), Pugh, Lloyd, Heath, Press
March 29, 2016	U-23 MNT vs Colombia	1-2 L	Toyota Stadium; Frisco, Texas	7,998	Machado(og)
March 29, 2016	MNT vs Guatemala - Presented by Liberty Mutual Insurance	4-0 W	MAPFRE Stadium; Columbus, Ohio	20,624	Dempsey, Cameron, Zusi, Altidore
March 28, 2016	U-17 MNT vs France	3-2 W	Montaigu, France		Weah, Acosta (2)
March 27, 2016	U-20 MNT vs Sinergia Deportiva Tigres	3-1 W	Dallas Texans Soccer Club, Texas		Saucedo, Lennon, Mansaray
March 26, 2016	U-17 MNT vs Russia	4-0 W	Bretignolles-Sur-Mer, France		Acosta (2), Akinola (2)
March 25, 2016	MNT vs Guatemala	0-2 L	Estadio Mateo Flores; Guatemala City, Guatemala	18,313	--
March 25, 2016	U-23 MNT vs Colombia	1-1 D	Estadio Metropolitano Roberto Meléndez; Barranquilla, Colombia		Gil
March 25, 2016	U-20 MNT vs Kyoto Sanga FC	0-0 D	Russel Creek Park; Dallas, Texas		--
March 24, 2016	U-17 MNT vs England	2-2 D	Poire-Sur-Vie, France		Acosta(2)
March 23, 2016	U-20 MNT vs TSG 1899 Hoffenheim	3-3 D	Richland College; Dallas, Texas	600	Herrera, Ebobisse, Mansaray
March 22, 2016	U-17 MNT vs Brazil	1-1 D	Poire-Sur-Vie, France		Akinola
March 21, 2016	U-20 MNT vs Fulham FC	1-2 L	Richland College; Dallas, Texas		Sabbi
March 20, 2016	U-20 MNT vs CF Monterrey Rayados	1-0 W	Cotton Bowl; Dallas, Texas		Ebobisse
March 16, 2016	U-18 MNT vs Uruguay	2-1 W	Buenos Aires, Argentina		Dorsey, del Rosario
March 14, 2016	U-18 MNT vs Racing Club	3-2 W	Buenos Aires, Argentina		Dorsey, Taitague, Rennicks
March 13, 2016	U-17 WNT vs Mexico	2-1 W	Grenada National Stadium; St. Georges, Grenada	2,500	Sanchez, Kulhmann
March 12, 2016	U-18 MNT vs San Lorenzo	2-1 W	Buenos Aires, Argentina		Uribe, Taitague
March 11, 2016	U-17 WNT vs Canada	5-0 W	Grenada National Stadium; St. Georges, Grenada		Spaanstra, Canniff, Culhmann, S. Smith, Tagilaferri
March 9, 2016	WNT vs Germany	2-1 W	FAU Stadium; Boca Raton, Fla.	13,501	Morgan, Mewis
March 8, 2016	U-17 WNT vs Costa Rica	2-0 W	Grenada National Stadium; St. Georges, Grenada		Spaanstra, Sanchez
